contrast,metric,query_count,comparison_mean,hierarchical_mean,mean_paired_difference,median_paired_difference,bootstrap_ci_lower,bootstrap_ci_upper,relative_mean_difference,latency_comparison_concurrent
fixed_size - hierarchical,context_tokens,72,1644.875,638.5555555555555,1006.3194444444445,1095.5,934.0555555555555,1076.861111111111,1.5759309204802507,
fixed_size - hierarchical,prompt_tokens,72,1873.486111111111,868.8194444444445,1004.6666666666666,1091.0,932.4166666666666,1075.0555555555557,1.1563584046039486,
fixed_size - hierarchical,completion_tokens,72,1017.3055555555555,829.9305555555555,187.375,164.5,100.47222222222223,275.2638888888889,0.22577190193289254,
fixed_size - hierarchical,total_tokens,72,2890.7916666666665,1698.75,1192.0416666666667,1294.5,1072.986111111111,1304.9444444444443,0.7017169487368162,
fixed_size - hierarchical,generation_cost_usd,72,0.0024808315277777774,0.00186092375,0.0006199077777777778,0.00063455,0.00044210638888888886,0.0008000336111111112,0.3331183116867509,
fixed_size - hierarchical,query_embedding_seconds,72,0.31371965505544114,0.31371965505544114,0.0,0.0,0.0,0.0,0.0,False
fixed_size - hierarchical,search_seconds,72,5.234891695080377e-05,0.00010494495796188453,-5.2596041011080764e-05,-5.197899736231193e-05,-5.406774956403145e-05,-5.05827076469561e-05,-0.501177398443319,False
fixed_size - hierarchical,assembly_seconds,72,0.0014781035970372614,0.0003008553193366323,0.001177248277700629,0.0005233755000517704,0.00045201674897220475,0.0025980224432310527,3.913004697062993,False
fixed_size - hierarchical,generation_seconds,72,14.842522331680003,11.139724793430105,3.7027975382498983,2.5995647499985353,1.5178650075986297,5.9244404027214035,0.33239578238357415,False
fixed_size - hierarchical,end_to_end_seconds,72,15.157772439249433,11.453850248762844,3.7039221904865878,2.5999652704922482,1.518278700156265,5.926956279390449,0.3233779131071368,False
semantic - hierarchical,context_tokens,72,866.7083333333334,638.5555555555555,228.15277777777777,236.5,160.05555555555554,296.68055555555554,0.3572951104924309,
semantic - hierarchical,prompt_tokens,72,1096.8333333333333,868.8194444444445,228.01388888888889,235.5,160.06944444444446,296.2638888888889,0.2624410518743505,
semantic - hierarchical,completion_tokens,72,913.6944444444445,829.9305555555555,83.76388888888889,58.5,5.888888888888889,164.97222222222223,0.10092879256965936,
semantic - hierarchical,total_tokens,72,2010.5277777777778,1698.75,311.77777777777777,383.0,205.90277777777777,412.8888888888889,0.18353364401929517,
semantic - hierarchical,generation_cost_usd,72,0.002085277222222222,0.00186092375,0.0002243534722222222,0.00019837499999999988,6.727208333333335e-05,0.00038478347222222224,0.12056027132880742,
semantic - hierarchical,query_embedding_seconds,72,0.31371965505544114,0.31371965505544114,0.0,0.0,0.0,0.0,0.0,False
semantic - hierarchical,search_seconds,72,8.663254165084154e-05,0.00010494495796188453,-1.8312416311043005e-05,-1.8062499293591827e-05,-1.926899989889029e-05,-1.721335997394312e-05,-0.17449543710040816,False
semantic - hierarchical,assembly_seconds,72,0.0004085676951540841,0.0003008553193366323,0.00010771237581745179,0.00011254149649175815,7.522859616276239e-05,0.0001400057805464409,0.3580205131654346,False
semantic - hierarchical,generation_seconds,72,12.328601516211267,11.139724793430105,1.1888767227811614,1.1382786044960085,-0.7488064611754655,3.0064823974064185,0.10672406588377537,False
semantic - hierarchical,end_to_end_seconds,72,12.642816371503512,11.453850248762844,1.1889661227406678,1.1383722085047339,-0.7487560734551961,3.0065853134883582,0.10380492995087742,False
