config_id,search_scope,specificity,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_128_25,all_acts,H,5,22,0.20774780774780774,0.7734848484848484,0.3098234949839228,0.3909090909090909,0.6458874458874458,0.5922503390683045,7.409090909090909,1.5
fs_128_25,all_acts,H,10,22,0.12624725616035778,0.8454545454545456,0.21395860097309577,0.3909090909090909,0.6458874458874458,0.6204221418621201,13.318181818181818,1.7272727272727273
fs_128_25,all_acts,L,5,22,0.22741425241425242,0.36515151515151517,0.26124943090183733,0.2409090909090909,0.4428030303030303,0.3280861026388157,7.818181818181818,1.4090909090909092
fs_128_25,all_acts,L,10,22,0.15048788266491614,0.4977272727272727,0.21839884025211181,0.2484848484848485,0.4462995337995338,0.3750488690255404,14.545454545454545,1.8636363636363635
fs_128_25,all_acts,N,5,28,0.2256828488971346,0.515422077922078,0.2947547084101706,0.33268398268398264,0.6749999999999999,0.47915684087459515,7.5,1.5714285714285714
fs_128_25,all_acts,N,10,28,0.15992363728708267,0.6778679653679653,0.24220408105580596,0.33917748917748913,0.6785714285714286,0.5383025701259789,13.607142857142858,2.107142857142857
fs_128_25,pil_acts,H,5,5,0.3205982905982906,0.6366666666666666,0.413944878650761,0.48666666666666664,0.65,0.5442085257038096,8.2,2.4
fs_128_25,pil_acts,H,10,5,0.19785714285714287,0.82,0.31649122807017543,0.48666666666666664,0.65,0.6169266618147957,15.4,3.0
fs_128_25,pil_acts,L,5,5,0.09760683760683761,0.29,0.1443001443001443,0.25,0.425,0.31040255777232095,11.0,1.0
fs_128_25,pil_acts,L,10,5,0.080843776106934,0.5066666666666666,0.13818181818181818,0.25,0.44038461538461543,0.38598589116622656,19.4,1.6
fs_128_25,pil_acts,N,5,7,0.2022778808493094,0.39740259740259737,0.24057315233785823,0.22597402597402597,0.6,0.37133490614750314,10.285714285714286,1.8571428571428572
fs_128_25,pil_acts,N,10,7,0.17626262626262626,0.49480519480519486,0.22182422840317575,0.251948051948052,0.6,0.4169840960626039,17.857142857142858,2.7142857142857144
fs_128_25,target_acts,H,5,22,0.21984782893873803,0.7848484848484848,0.3255988960534415,0.3909090909090909,0.6481601731601732,0.6026901913826995,7.136363636363637,1.5454545454545454
fs_128_25,target_acts,H,10,22,0.13249593172721516,0.8454545454545456,0.2228116908422284,0.3909090909090909,0.6481601731601732,0.6269919165323753,12.772727272727273,1.7272727272727273
fs_128_25,target_acts,L,5,22,0.24944083694083694,0.39166666666666666,0.287666195954966,0.25,0.4575757575757576,0.3442881924104669,7.090909090909091,1.5
fs_128_25,target_acts,L,10,22,0.1865867253427062,0.5712121212121212,0.27004533056461005,0.25757575757575757,0.4621212121212121,0.41313573305396095,12.681818181818182,2.1363636363636362
fs_128_25,target_acts,N,5,28,0.2347745508459794,0.515422077922078,0.30015763881310104,0.3576839826839827,0.6857142857142857,0.4868890473956193,7.357142857142857,1.5714285714285714
fs_128_25,target_acts,N,10,28,0.16802505967421935,0.7010822510822511,0.2548048887693956,0.3641774891774892,0.6892857142857143,0.5574628640990552,13.321428571428571,2.2142857142857144
fs_256_50,all_acts,H,5,22,0.1614270199497472,0.7507575757575757,0.2553448259999062,0.3189393939393939,0.6227272727272727,0.5711969942635821,9.5,1.5454545454545454
fs_256_50,all_acts,H,10,22,0.08417542980850021,0.7962121212121211,0.1481656495960085,0.3189393939393939,0.6227272727272727,0.5862602456967847,18.954545454545453,1.6363636363636365
fs_256_50,all_acts,L,5,22,0.16675563272453225,0.40378787878787875,0.22190249941446114,0.20227272727272727,0.4298340548340548,0.3248474274436522,10.636363636363637,1.5
fs_256_50,all_acts,L,10,22,0.12360948643667471,0.5590909090909091,0.19239547877063326,0.20227272727272727,0.4298340548340548,0.385572300657439,20.545454545454547,2.1818181818181817
fs_256_50,all_acts,N,5,28,0.15898605362891077,0.5588744588744589,0.23173221503053434,0.2987554112554113,0.5851190476190476,0.4468492119294952,10.571428571428571,1.6071428571428572
fs_256_50,all_acts,N,10,28,0.12166139764595622,0.7370670995670995,0.19471471279588343,0.30849567099567105,0.5944727891156463,0.5126509045444078,20.285714285714285,2.357142857142857
fs_256_50,pil_acts,H,5,5,0.2712637362637363,0.77,0.394572192513369,0.47000000000000003,0.7,0.6454568146780008,10.2,2.8
fs_256_50,pil_acts,H,10,5,0.12826493992822594,0.77,0.21509726420212352,0.47000000000000003,0.7,0.6454568146780008,21.8,2.8
fs_256_50,pil_acts,L,5,5,0.12870813397129185,0.42333333333333334,0.1930769230769231,0.24,0.55,0.38956897022587356,12.0,1.4
fs_256_50,pil_acts,L,10,5,0.0710239651416122,0.5133333333333333,0.12432234432234432,0.24,0.55,0.4253624668727486,24.8,1.8
fs_256_50,pil_acts,N,5,7,0.15821281892710465,0.39740259740259737,0.1979602097249156,0.21883116883116882,0.5952380952380952,0.3600061675429237,13.571428571428571,1.8571428571428572
fs_256_50,pil_acts,N,10,7,0.14689106411795486,0.6077922077922079,0.20021135586017352,0.2577922077922078,0.6099773242630385,0.43424502906722606,25.571428571428573,3.2857142857142856
fs_256_50,target_acts,H,5,22,0.17088700440973167,0.7734848484848484,0.2691957478053735,0.3416666666666667,0.6568181818181817,0.5978459389436803,9.272727272727273,1.5909090909090908
fs_256_50,target_acts,H,10,22,0.09165322131260285,0.853030303030303,0.16122857592657328,0.3416666666666667,0.6598484848484849,0.6216909174361104,18.40909090909091,1.7272727272727273
fs_256_50,target_acts,L,5,22,0.19661697482553098,0.4643939393939394,0.2623214106467695,0.23636363636363636,0.5055916305916306,0.38453460819989443,10.045454545454545,1.7272727272727273
fs_256_50,target_acts,L,10,22,0.14401433385390605,0.6287878787878788,0.22565718469769241,0.23636363636363636,0.5055916305916306,0.4489406629828743,18.40909090909091,2.4545454545454546
fs_256_50,target_acts,N,5,28,0.16466261912690486,0.5999458874458874,0.2441073033924648,0.334469696969697,0.619345238095238,0.48208051952274233,10.607142857142858,1.75
fs_256_50,target_acts,N,10,28,0.12616057225736227,0.7620670995670995,0.20256594053880922,0.34420995670995674,0.625297619047619,0.5429718421989688,20.0,2.4642857142857144
fs_64_12,all_acts,H,5,22,0.26165223665223664,0.7166666666666667,0.3610366905821451,0.47045454545454546,0.8045454545454546,0.6622591217875555,5.409090909090909,1.3181818181818181
fs_64_12,all_acts,H,10,22,0.17509876487149215,0.853030303030303,0.2811096731551277,0.47045454545454546,0.8121212121212121,0.7216975520641823,10.363636363636363,1.7272727272727273
fs_64_12,all_acts,L,5,22,0.2581890331890332,0.3996212121212121,0.28975607725607727,0.2708333333333333,0.4928571428571429,0.37183058314571027,6.7272727272727275,1.4545454545454546
fs_64_12,all_acts,L,10,22,0.2040125390058545,0.5140151515151515,0.27638081615354343,0.2784090909090909,0.5002435064935065,0.42072889989820045,11.545454545454545,2.0
fs_64_12,all_acts,N,5,28,0.2701814058956916,0.49058441558441557,0.3169524919524919,0.3316558441558442,0.6568877551020408,0.4762158170472543,5.964285714285714,1.3928571428571428
fs_64_12,all_acts,N,10,28,0.20547260279403137,0.6468073593073592,0.29389948716574105,0.3527597402597403,0.6640306122448979,0.5327110944140127,10.178571428571429,1.8928571428571428
fs_64_12,pil_acts,H,5,5,0.41301587301587295,0.6033333333333333,0.48218781218781215,0.5033333333333333,0.8400000000000001,0.6182391048538717,6.0,2.2
fs_64_12,pil_acts,H,10,5,0.23714285714285716,0.72,0.3535042735042735,0.5033333333333333,0.8400000000000001,0.6716553771513392,11.6,2.6
fs_64_12,pil_acts,L,5,5,0.20555555555555555,0.2833333333333333,0.22666666666666666,0.2833333333333333,0.33999999999999997,0.2679659471822641,7.2,1.0
fs_64_12,pil_acts,L,10,5,0.11538461538461538,0.32333333333333336,0.1638961038961039,0.2833333333333333,0.35428571428571426,0.28532810242944934,13.6,1.2
fs_64_12,pil_acts,N,5,7,0.25056689342403626,0.3623376623376623,0.2510917653774797,0.22662337662337664,0.5442176870748299,0.3938164991034875,7.142857142857143,1.5714285714285714
fs_64_12,pil_acts,N,10,7,0.20056689342403627,0.4753246753246753,0.24895808525839486,0.2396103896103896,0.5442176870748299,0.4450006213884049,12.571428571428571,2.2857142857142856
fs_64_12,target_acts,H,5,22,0.2827922077922078,0.728030303030303,0.38222156631247545,0.49318181818181817,0.8106060606060606,0.6739845140054551,5.136363636363637,1.3636363636363635
