config_id,strategy,search_scope,query_id,specificity,target_document_codes,gold_unit_count,top_k,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_128_25,fixed_size,all_acts,q4eu_001,H,E,3,5,0.375,1.0,0.5454545454545454,0.6666666666666666,1.0,0.9060254355346823,8,3
fs_128_25,fixed_size,all_acts,q4eu_001,H,E,3,10,0.21428571428571427,1.0,0.35294117647058826,0.6666666666666666,1.0,0.9060254355346823,14,3
fs_128_25,fixed_size,all_acts,q4eu_002,N,E,2,5,0.14285714285714285,0.5,0.22222222222222224,0.5,1.0,0.6131471927654584,7,1
fs_128_25,fixed_size,all_acts,q4eu_002,N,E,2,10,0.11764705882352941,1.0,0.21052631578947367,0.5,1.0,0.7741900178546666,17,2
fs_128_25,fixed_size,all_acts,q4eu_003,L,E,2,5,0.125,0.5,0.2,0.0,0.16666666666666666,0.21840743681816419,8,1
fs_128_25,fixed_size,all_acts,q4eu_003,L,E,2,10,0.14285714285714285,1.0,0.25,0.0,0.16666666666666666,0.3841032025833937,14,2
fs_128_25,fixed_size,all_acts,q4eu_004,N,E,2,5,0.3333333333333333,1.0,0.5,0.5,0.5,0.6934264036172708,6,2
fs_128_25,fixed_size,all_acts,q4eu_004,N,E,2,10,0.2,1.0,0.33333333333333337,0.5,0.5,0.6934264036172708,10,2
fs_128_25,fixed_size,all_acts,q4eu_005,L,E,2,5,0.14285714285714285,0.5,0.22222222222222224,0.0,0.2,0.23719771276929622,7,1
fs_128_25,fixed_size,all_acts,q4eu_005,L,E,2,10,0.18181818181818182,1.0,0.3076923076923077,0.0,0.2,0.4082307968370143,11,2
fs_128_25,fixed_size,all_acts,q4eu_006,N,E,2,5,0.16666666666666666,1.0,0.2857142857142857,0.5,1.0,0.8175295903539445,12,2
fs_128_25,fixed_size,all_acts,q4eu_006,N,E,2,10,0.1,1.0,0.18181818181818182,0.5,1.0,0.8175295903539445,20,2
fs_128_25,fixed_size,all_acts,q4eu_007,H,E,1,5,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,6,1
fs_128_25,fixed_size,all_acts,q4eu_007,H,E,1,10,0.07692307692307693,1.0,0.14285714285714288,1.0,1.0,1.0,13,1
fs_128_25,fixed_size,all_acts,q4eu_008,L,E,2,5,0.0,0.0,0.0,0.0,0.0,0.0,15,0
fs_128_25,fixed_size,all_acts,q4eu_008,L,E,2,10,0.0,0.0,0.0,0.0,0.0,0.0,21,0
fs_128_25,fixed_size,all_acts,q4eu_009,H,E,2,5,0.2,1.0,0.33333333333333337,0.5,0.5,0.6509209298071326,10,2
fs_128_25,fixed_size,all_acts,q4eu_009,H,E,2,10,0.15384615384615385,1.0,0.2666666666666667,0.5,0.5,0.6509209298071326,13,2
