config_id,strategy,chunk_count,mean_chunk_tokens,median_chunk_tokens,p95_chunk_tokens,max_chunk_tokens,mean_answer_units_per_chunk,search_scope,top_k,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_64_12,fixed_size,2273,63.92300923889133,64,64.0,64,1.387153541575011,target_acts,10,0.21702379750786613,0.714151936026936,0.3121635076453188,0.40095749158249155,0.6936507936507936,0.5936825482776276,10.069444444444445,2.013888888888889
fs_128_25,fixed_size,1148,127.73780487804878,128.0,128.0,128,1.7848432055749128,target_acts,10,0.16284055731133906,0.705513468013468,0.24968599106241005,0.3397727272727273,0.607308201058201,0.5346078956343464,12.958333333333334,2.0416666666666665
fs_256_50,fixed_size,576,254.50173611111111,256.0,256.0,256,2.5364583333333335,target_acts,10,0.12107197551207416,0.7491372053872054,0.19699073706695144,0.31047979797979797,0.5992779982363315,0.5382931437609554,19.02777777777778,2.236111111111111
sem_50_64,semantic,2527,46.69568658488326,47,62.0,64,1.0344281757024139,target_acts,10,0.2640546953046953,0.7161195286195287,0.35984624942958277,0.5251473063973064,0.8235119047619048,0.6770900697005029,7.958333333333333,2.0416666666666665
sem_50_128,semantic,1555,75.87395498392283,74,122.0,128,1.0932475884244373,target_acts,10,0.25573947657280993,0.734006734006734,0.3538904817802667,0.47544191919191925,0.7792989417989418,0.656284638829436,8.680555555555555,2.111111111111111
sem_50_256,semantic,1127,104.68589174800356,82,229.4000000000001,256,1.191659272404614,target_acts,10,0.20429279439696107,0.7200547138047138,0.2989756753108146,0.45824915824915824,0.7359953703703703,0.6218661854297998,10.555555555555555,2.0694444444444446
sem_70_64,semantic,2530,46.6395256916996,47.0,62.0,64,1.032806324110672,target_acts,10,0.26449561241227904,0.7161195286195287,0.3604845771512438,0.5251473063973064,0.8235119047619048,0.6769881751172319,7.930555555555555,2.0416666666666665
sem_70_128,semantic,1610,73.28198757763975,70.0,121.0,128,1.0819875776397516,target_acts,10,0.25531389906389906,0.7253261784511785,0.35131238404285525,0.48944654882154887,0.7858796296296297,0.6562368630710739,8.61111111111111,2.0833333333333335
sem_70_256,semantic,1310,90.0587786259542,69.0,216.0,256,1.1282442748091603,target_acts,10,0.22216026643109976,0.7155408249158248,0.3181078939979869,0.4727167508417509,0.7566137566137566,0.6286111272502732,9.73611111111111,2.0694444444444446
hier_article,hierarchical,720,163.9777777777778,111.0,484.2499999999998,1597,1.0,target_acts,10,0.20277777777777778,0.703219696969697,0.2974310797227464,0.4705808080808081,0.7570601851851851,0.6329974547988914,10.0,2.0277777777777777
hier_paragraph,hierarchical,1372,82.29008746355684,57.0,231.50000000000045,1593,1.0,target_acts,10,0.24632385361552028,0.6948232323232323,0.34022929852902967,0.5175084175084175,0.830324074074074,0.6616000646413434,8.305555555555555,1.9861111111111112
hier_subparagraph,hierarchical,1774,62.33652762119504,42.0,186.0,1495,1.0,target_acts,10,0.2403990299823633,0.6773463804713804,0.3332159415156727,0.49378156565656567,0.794212962962963,0.6375353389267746,8.472222222222221,1.9861111111111112
hier_paragraph_contextualized,hierarchical,1372,82.29008746355684,57.0,231.50000000000045,1593,1.0,target_acts,10,0.2935185185185185,0.7029250841750841,0.3840762632429299,0.5535037878787878,0.8576388888888888,0.6963090170344727,7.347222222222222,2.0277777777777777
