condition_id,query_count,macro_context_gold_recall,macro_context_gold_precision,macro_context_gold_f1,macro_context_token_count,macro_included_chunk_count,macro_excluded_chunk_count,macro_candidate_chunk_count,context_token_min,context_token_median,context_token_p95,context_token_max
no_enrichment,72,0.5903198653198652,0.3701388888888889,0.41923762965429634,638.5555555555555,5.0,0.0,5.0,281.0,544.5,1135.8500000000004,1392.0
parent_only,72,0.5903198653198652,0.3701388888888889,0.41923762965429634,1478.513888888889,7.694444444444445,0.0,7.694444444444445,454.0,1423.0,2462.2,2930.0
xref_only,72,0.6088383838383838,0.3290895061728395,0.39329848392348393,1011.0555555555555,6.041666666666667,0.09722222222222222,6.138888888888889,319.0,803.0,2617.55,3498.0
combined,72,0.6088383838383838,0.330109126984127,0.394415499623833,1745.5972222222222,8.51388888888889,0.125,8.63888888888889,454.0,1578.5,3272.9000000000005,3463.0
volume_matched,72,0.6936026936026936,0.20223229105516144,0.2850094603020433,1741.7916666666667,14.23611111111111,0.7638888888888888,50.0,489.0,1608.5,3269.3,3467.0
