condition_id,query_count,faithfulness_mean,faithfulness_median,faithfulness_q1,faithfulness_q3,faithfulness_iqr,faithfulness_min,faithfulness_max,unfaithful_response_rate,faithfulness_judge_abstention_rate,faithfulness_judge_unjustified_abstention_rate,correctness_mean,correctness_median,correctness_q1,correctness_q3,correctness_iqr,correctness_min,correctness_max,citation_precision_mean,citation_recall_mean,citation_f1_mean
no_enrichment,72,0.9208333333333333,1.0,0.9,1.0,0.09999999999999998,0.6,1.0,0.0,0.09722222222222222,0.0,0.7277777777777777,0.8,0.6,1.0,0.4,0.0,1.0,0.6615740740740741,0.5583754208754209,0.5431288233371566
parent_only,72,0.9597222222222221,1.0,0.9,1.0,0.09999999999999998,0.6,1.0,0.0,0.05555555555555555,0.0,0.8083333333333333,0.9,0.8,1.0,0.19999999999999996,0.0,1.0,0.66630291005291,0.5612584175084175,0.5457686244683371
xref_only,72,0.9277777777777777,1.0,0.9,1.0,0.09999999999999998,0.4,1.0,0.027777777777777776,0.05555555555555555,0.0,0.7319444444444445,0.8,0.6,1.0,0.4,0.0,1.0,0.6031415343915344,0.5421717171717172,0.5158861585944919
combined,72,0.9597222222222221,1.0,0.9,1.0,0.09999999999999998,0.8,1.0,0.0,0.041666666666666664,0.0,0.8152777777777778,0.95,0.8,1.0,0.19999999999999996,0.0,1.0,0.6672619047619048,0.559469696969697,0.5436970051553385
volume_matched,72,0.9444444444444444,1.0,0.9,1.0,0.09999999999999998,0.6,1.0,0.0,0.08333333333333333,0.0,0.8027777777777777,0.9,0.7500000000000001,1.0,0.2499999999999999,0.0,1.0,0.6375526094276095,0.5642045454545455,0.5355866355866357
