condition_id,query_embedding_mean_seconds,search_mean_seconds,assembly_mean_seconds,end_to_end_mean_seconds,end_to_end_median_seconds,end_to_end_p95_seconds,end_to_end_query_count,generation_total_cost_usd,generation_mean_cost_usd,generation_total_elapsed_seconds,generation_mean_elapsed_seconds,generation_median_elapsed_seconds,generation_p95_elapsed_seconds,generation_total_prompt_tokens,generation_mean_prompt_tokens,generation_median_prompt_tokens,generation_p95_prompt_tokens,generation_total_completion_tokens,generation_mean_completion_tokens,generation_total_tokens,generation_mean_total_tokens,generation_median_total_tokens,generation_p95_total_tokens,faithfulness_judge_total_cost_usd,faithfulness_judge_mean_cost_usd,faithfulness_judge_total_elapsed_seconds,faithfulness_judge_mean_elapsed_seconds,faithfulness_judge_median_elapsed_seconds,faithfulness_judge_p95_elapsed_seconds,faithfulness_judge_total_prompt_tokens,faithfulness_judge_mean_prompt_tokens,faithfulness_judge_median_prompt_tokens,faithfulness_judge_p95_prompt_tokens,faithfulness_judge_total_completion_tokens,faithfulness_judge_mean_completion_tokens,faithfulness_judge_total_tokens,faithfulness_judge_mean_total_tokens,faithfulness_judge_median_total_tokens,faithfulness_judge_p95_total_tokens,correctness_judge_total_cost_usd,correctness_judge_mean_cost_usd,correctness_judge_total_elapsed_seconds,correctness_judge_mean_elapsed_seconds,correctness_judge_median_elapsed_seconds,correctness_judge_p95_elapsed_seconds,correctness_judge_total_prompt_tokens,correctness_judge_mean_prompt_tokens,correctness_judge_median_prompt_tokens,correctness_judge_p95_prompt_tokens,correctness_judge_total_completion_tokens,correctness_judge_mean_completion_tokens,correctness_judge_total_tokens,correctness_judge_mean_total_tokens,correctness_judge_median_total_tokens,correctness_judge_p95_total_tokens,total_judge_total_cost_usd,total_judge_mean_cost_usd,total_judge_total_elapsed_seconds,total_judge_mean_elapsed_seconds,total_judge_median_elapsed_seconds,total_judge_p95_elapsed_seconds,total_judge_total_prompt_tokens,total_judge_mean_prompt_tokens,total_judge_median_prompt_tokens,total_judge_p95_prompt_tokens,total_judge_total_completion_tokens,total_judge_mean_completion_tokens,total_judge_total_tokens,total_judge_mean_total_tokens,total_judge_median_total_tokens,total_judge_p95_total_tokens
no_enrichment,0.31371965505544114,0.00010494495796188453,0.0003008553193366323,11.453850248762844,9.213191687496874,23.914500479842175,72,0.13398651,0.00186092375,802.0601851269676,11.139724793430105,8.89011183349794,23.467374772846597,62555,868.8194444444445,779.0,1368.2000000000003,59755,829.9305555555555,122310,1698.75,1553.0,2782.5,0.245714,0.0034126944444444443,245.27267062496685,3.406564869791206,3.2858084380022774,5.047854130946144,115284,1601.1666666666667,1495.5,2390.3,26086,362.30555555555554,141370,1963.4722222222222,1873.5,2880.9000000000005,0.8094750000000001,0.011242708333333334,408.0411330819843,5.667237959472004,5.472637103499437,9.373994579050123,123298,1712.4722222222222,1597.5,2824.4000000000005,69392,963.7777777777778,192690,2676.25,2524.5,4319.45,1.055189,0.007327701388888889,653.3138037069511,4.536901414631605,3.840755541496037,8.57903658400064,238582,1656.8194444444443,1503.5,2528.7999999999997,95478,663.0416666666666,334060,2319.8611111111113,2111.5,3788.4999999999995
parent_only,0.31371965505544114,0.00010494495796188453,0.0008243489724514398,12.037660061861162,10.414860354001576,24.121306323095997,72,0.13883831,0.001928309861111111,844.0568001270221,11.723011112875307,10.153704041498713,23.846429177599568,122887,1706.763888888889,1633.5,2691.65,63201,877.7916666666666,186088,2584.5555555555557,2559.0,3545.9500000000003,0.311915,0.004332152777777778,246.7301447110076,3.426807565430661,3.3331188334996114,5.2664606170015755,179930,2499.027777777778,2471.5,3580.05,26397,366.625,206327,2865.652777777778,2819.5,3916.4000000000005,0.7661775,0.010641354166666665,376.31012629297766,5.226529531846912,5.208688520498981,9.412003158845618,124403,1727.8194444444443,1559.0,2727.9000000000005,64397,894.4027777777778,188800,2622.222222222222,2354.0,3980.6500000000005,1.0780925,0.007486753472222222,623.0402710039853,4.326668548638787,3.617931958502595,8.7596119294536,304333,2113.4236111111113,2079.5,3531.599999999999,90794,630.5138888888889,395127,2743.9375,2687.5,3993.149999999999
xref_only,0.31371965505544114,0.00010494495796188453,0.0006096747225051837,9.93245288990248,9.037316458001442,16.7330809690473,72,0.14163023,0.001967086527777778,692.4973402919932,9.618018615166571,8.687663771001098,16.436747958698476,89255,1239.6527777777778,1030.5,2847.55,60904,845.8888888888889,150159,2085.5416666666665,1903.0,4117.700000000001,0.275953,0.0038326805555555558,250.6747999109939,3.4815944432082486,3.3946972080048,5.375569562497914,143608,1994.5555555555557,1722.0,3871.9500000000003,26469,367.625,170077,2362.1805555555557,2121.5,4559.65,0.8412195,0.011683604166666667,416.78223892197275,5.788642207249621,5.607539604494377,10.123556437650041,124655,1731.3194444444443,1619.5,2693.5500000000006,72693,1009.625,197348,2740.9444444444443,2500.0,4820.950000000003,1.1171725,0.007758142361111111,667.4570388329666,4.635118325228935,4.002035083500232,9.014503371452882,268263,1862.9375,1699.0,3754.199999999999,99162,688.625,367425,2551.5625,2351.0,4601.599999999999
combined,0.31371965505544114,0.00010494495796188453,0.0011744438748387943,11.439845326929976,9.893295853500604,21.67477194375242,72,0.159426,0.00221425,800.9889323790048,11.124846283041734,9.602321812497394,21.1734558061009,142016,1972.4444444444443,1805.5,3486.2000000000007,62681,870.5694444444445,204697,2843.0138888888887,2755.5,4332.1,0.344381,0.004783069444444444,255.44837117003772,3.5478940440283018,3.3426150624982256,5.280809054051861,207491,2881.8194444444443,2694.5,4486.9,27378,380.25,234869,3262.0694444444443,3055.5,4866.25,0.798453,0.011089624999999999,400.2154163769883,5.558547449680393,5.063871583002765,10.675250669048548,126906,1762.5833333333333,1587.5,3206.4500000000035,67566,938.4166666666666,194472,2701.0,2470.0,5007.050000000001,1.142834,0.007936347222222221,655.663787547026,4.553220746854347,3.8965604584991524,8.682875420498748,334397,2322.2013888888887,2216.5,4392.249999999999,94944,659.3333333333334,429341,2981.534722222222,2770.0,4924.249999999999
volume_matched,0.31371965505544114,0.00010494495796188453,0.0026408911939547076,11.860311995193419,11.61537797800338,24.227975164500823,72,0.16443917,0.002283877361111111,831.1569482869963,11.54384650398606,11.321211145503185,23.95819474795535,141709,1968.1805555555557,1828.5,3480.0,66705,926.4583333333334,208414,2894.6388888888887,2805.0,4674.200000000001,0.344409,0.004783458333333334,265.2393389189965,3.683879707208285,3.5572456249974493,5.595768735047024,203799,2830.5416666666665,2664.0,4528.0,28122,390.5833333333333,231921,3221.125,3066.0,4980.200000000001,0.8217015,0.011412520833333334,405.64739999896847,5.6339916666523395,4.8778085619997,11.010525049996073,127555,1771.5972222222222,1565.5,3258.6000000000026,70041,972.7916666666666,197596,2744.3888888888887,2530.5,5504.300000000003,1.1661105,0.008097989583333333,670.886738917965,4.658935686930312,3.9381772080014343,8.149040854446138,331354,2301.0694444444443,2209.0,4455.699999999999,98163,681.6875,429517,2982.7569444444443,2814.5,5116.699999999999
