condition_id,query_count,mean_gold_text_coverage,mean_correctness
no_enrichment,72,0.332841769438413,0.7277777777777777
parent_only,72,0.5903198653198652,0.8083333333333333
xref_only,72,0.3714287025033925,0.7319444444444445
combined,72,0.6088383838383838,0.8152777777777778
volume_matched,72,0.45954627032129763,0.8027777777777777
