query_id,baseline_config_id,hierarchy_config_id,search_scope,top_k,specificity,target_document_codes,baseline_precision,hierarchy_precision,delta_precision,baseline_recall,hierarchy_recall,delta_recall,baseline_f1,hierarchy_f1,delta_f1,baseline_r_precision,hierarchy_r_precision,delta_r_precision,baseline_mrr,hierarchy_mrr,delta_mrr,baseline_ndcg,hierarchy_ndcg,delta_ndcg
q4eu_022,sem_50_256,hier_paragraph,target_acts,10,L,G,0.2857142857142857,0.125,-0.1607142857142857,0.4,0.2,-0.2,0.3333333333333333,0.15384615384615385,-0.17948717948717946,0.4,0.2,-0.2,0.5,0.3333333333333333,-0.16666666666666669,0.34519134224686937,0.16958010263680806,-0.1756112396100613
q4eu_023,fs_256_50,hier_paragraph,target_acts,10,N,G,0.1111111111111111,0.25,0.1388888888888889,1.0,1.0,0.0,0.19999999999999998,0.4,0.20000000000000004,0.5,0.5,0.0,0.5,0.5,0.0,0.6240505200038379,0.6509209298071326,0.026870409803294693
q4eu_023,sem_50_256,hier_paragraph,target_acts,10,N,G,0.18181818181818182,0.25,0.06818181818181818,1.0,1.0,0.0,0.3076923076923077,0.4,0.09230769230769231,0.5,0.5,0.0,1.0,0.5,-0.5,0.8503449055347546,0.6509209298071326,-0.19942397572762205
q4eu_024,fs_256_50,hier_paragraph,target_acts,10,H,G,0.14285714285714285,0.3333333333333333,0.19047619047619047,1.0,1.0,0.0,0.25,0.5,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.7777061538487877,0.9060254355346823,0.12831928168589457
q4eu_024,sem_50_256,hier_paragraph,target_acts,10,H,G,0.375,0.3333333333333333,-0.041666666666666685,1.0,1.0,0.0,0.5454545454545454,0.5,-0.045454545454545414,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.7928654229965442,0.9060254355346823,0.11316001253813812
q4eu_025,fs_256_50,hier_paragraph,target_acts,10,L,G,0.25,0.2,-0.04999999999999999,0.5,0.25,-0.25,0.3333333333333333,0.22222222222222224,-0.11111111111111108,0.25,0.25,0.0,0.3333333333333333,1.0,0.6666666666666667,0.365078802966475,0.3794140541514857,0.014335251185010722
q4eu_025,sem_50_256,hier_paragraph,target_acts,10,L,G,0.2222222222222222,0.2,-0.0222222222222222,0.25,0.25,0.0,0.23529411764705882,0.22222222222222224,-0.013071895424836583,0.25,0.25,0.0,0.5,1.0,0.5,0.24968908577726404,0.3794140541514857,0.12972496837422168
q4eu_026,fs_256_50,hier_paragraph,target_acts,10,H,G,0.05555555555555555,0.1,0.04444444444444445,1.0,1.0,0.0,0.10526315789473684,0.18181818181818182,0.07655502392344499,0.0,1.0,1.0,0.25,1.0,0.75,0.43067655807339306,1.0,0.5693234419266069
q4eu_026,sem_50_256,hier_paragraph,target_acts,10,H,G,0.14285714285714285,0.1,-0.042857142857142844,1.0,1.0,0.0,0.25,0.18181818181818182,-0.06818181818181818,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
q4eu_027,fs_256_50,hier_paragraph,target_acts,10,H,G,0.045454545454545456,0.1111111111111111,0.06565656565656565,1.0,1.0,0.0,0.08695652173913045,0.19999999999999998,0.11304347826086954,0.0,1.0,1.0,0.5,1.0,0.5,0.6309297535714575,1.0,0.36907024642854247
