system,config_id,source,search_scope,top_k,metric_basis,precision,recall,f1,ndcg,mrr,note
"Fixed size, 256 tokens",fs_256_50,this_experiment,all_acts,10,standard_ir_on_pinned_dataset,0.11080260127056421,0.7007575757575757,0.17978273308820633,0.49631307426439364,0.552799823633157,standard IR metrics computed on pinned 246-answer Q4EU gold set
"Semantic, p50 max 256 tokens",sem_50_256,this_experiment,all_acts,10,standard_ir_on_pinned_dataset,0.1831398154314821,0.6670454545454545,0.269521240880245,0.5827375930816647,0.7080246913580246,standard IR metrics computed on pinned 246-answer Q4EU gold set
"Hierarchical, paragraph/recital leaf",hier_paragraph,this_experiment,all_acts,10,standard_ir_on_pinned_dataset,0.2188932980599647,0.6457491582491582,0.30532261570568026,0.6295171895741407,0.8141203703703703,standard IR metrics computed on pinned 246-answer Q4EU gold set
"DiscoLQA (MiniLM EDU+AMR, all norms, published)",published_minilm_edu_amr_all_norms,paper,all_acts,10,paper_reported_released_script_convention,0.688,,0.38,0.459,0.713,published Table 7 top10 all-norm MiniLM EDU+AMR. NOT definition-comparable to the standard-IR study rows above (published values follow DiscoLQA's released -script convention); see external_baseline_modified_ir.csv for the definition-matched comparison
"Fixed size, 256 tokens",fs_256_50,this_experiment,target_acts,10,standard_ir_on_pinned_dataset,0.12107197551207416,0.7491372053872054,0.19699073706695144,0.5382931437609554,0.5992779982363315,standard IR metrics computed on pinned 246-answer Q4EU gold set
"Semantic, p50 max 256 tokens",sem_50_256,this_experiment,target_acts,10,standard_ir_on_pinned_dataset,0.20429279439696107,0.7200547138047138,0.2989756753108146,0.6218661854297998,0.7359953703703703,standard IR metrics computed on pinned 246-answer Q4EU gold set
"Hierarchical, paragraph/recital leaf",hier_paragraph,this_experiment,target_acts,10,standard_ir_on_pinned_dataset,0.24632385361552028,0.6948232323232323,0.34022929852902967,0.6616000646413434,0.830324074074074,standard IR metrics computed on pinned 246-answer Q4EU gold set
"DiscoLQA (MiniLM EDU+AMR, target norms, published)",published_minilm_edu_amr_target_norms,paper,target_acts,10,paper_reported_released_script_convention,0.726,,0.413,0.506,0.755,published Table 7 top10 target-norm MiniLM EDU+AMR. NOT definition-comparable to the standard-IR study rows above (published values follow DiscoLQA's released -script convention); see external_baseline_modified_ir.csv for the definition-matched comparison
