config_id,search_scope,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_128_25,all_acts,5,72,0.22073173739840404,0.5483585858585859,0.28912133618015967,0.3224326599326599,0.5951554232804233,0.46755268419507373,7.569444444444445,1.5
fs_128_25,all_acts,10,72,0.1467504846971436,0.6740319865319866,0.22629969411829354,0.32727272727272727,0.5976126882376883,0.5135115861535547,13.805555555555555,1.9166666666666667
fs_128_25,pil_acts,5,17,0.20629240041004748,0.43618538324420675,0.26324924594820787,0.30971479500891264,0.5632352941176471,0.4042588094360691,9.882352941176471,1.7647058823529411
fs_128_25,pil_acts,10,17,0.15454958697992752,0.593939393939394,0.22506675471071758,0.3204099821746881,0.5677601809954752,0.4666736139613729,17.58823529411765,2.4705882352941178
fs_128_25,target_acts,5,72,0.2346949732366399,0.55993265993266,0.30411452654099713,0.3349326599326599,0.6045304232804233,0.47870024681287504,7.208333333333333,1.5416666666666667
fs_128_25,target_acts,10,72,0.16284055731133906,0.705513468013468,0.24968599106241005,0.3397727272727273,0.607308201058201,0.5346078956343464,12.958333333333334,2.0416666666666665
fs_256_50,all_acts,5,72,0.1621059425061618,0.5701178451178451,0.2359436552773756,0.2754419191919192,0.5491622574955908,0.4475660446053475,10.26388888888889,1.5555555555555556
fs_256_50,all_acts,10,72,0.11080260127056421,0.7007575757575757,0.17978273308820633,0.27922979797979797,0.552799823633157,0.49631307426439364,19.958333333333332,2.0833333333333335
fs_256_50,pil_acts,5,17,0.18278524021558076,0.5146167557932264,0.25435100270740413,0.2989304812834225,0.6127450980392156,0.4526571821952845,12.117647058823529,2.0
fs_256_50,pil_acts,10,17,0.11909893965734557,0.6277183600713013,0.18226926668491494,0.31497326203208553,0.6188141923436041,0.49375362418966645,24.235294117647058,2.7058823529411766
fs_256_50,target_acts,5,72,0.17632834553790436,0.6115530303030303,0.2573386386241133,0.3066919191919192,0.5960372574955908,0.4876475914416032,10.027777777777779,1.6944444444444444
fs_256_50,target_acts,10,72,0.12107197551207416,0.7491372053872054,0.19699073706695144,0.31047979797979797,0.5992779982363315,0.5382931437609554,19.02777777777778,2.236111111111111
fs_64_12,all_acts,5,72,0.2639109347442681,0.5318707912457913,0.32211264815431484,0.35548190235690236,0.6518849206349207,0.5011668942479857,6.027777777777778,1.3888888888888888
fs_64_12,all_acts,10,72,0.19574557727131256,0.6692445286195287,0.2846385611865488,0.36600378787878785,0.6592344576719577,0.5562401748161774,10.652777777777779,1.875
fs_64_12,pil_acts,5,17,0.28510737628384686,0.40998217468805703,0.3118773383479266,0.32468805704099823,0.5711484593837535,0.42280827964147594,6.823529411764706,1.588235294117647
fs_64_12,pil_acts,10,17,0.1862709186238598,0.502584670231729,0.254688734341803,0.3300356506238859,0.5753501400560225,0.46470127927192806,12.588235294117647,2.0588235294117645
fs_64_12,target_acts,5,72,0.30013227513227514,0.5635837542087542,0.3560663487746821,0.38765782828282824,0.6846230158730159,0.5354140165940572,5.680555555555555,1.4861111111111112
fs_64_12,target_acts,10,72,0.21702379750786613,0.714151936026936,0.3121635076453188,0.40095749158249155,0.6936507936507936,0.5936825482776276,10.069444444444445,2.013888888888889
hier_article,all_acts,5,72,0.29444444444444445,0.5440235690235691,0.3523996065662732,0.43754208754208757,0.7289351851851852,0.551171806906177,5.0,1.4722222222222223
hier_article,all_acts,10,72,0.1875,0.6586069023569023,0.2756279407321074,0.44448653198653193,0.7340443121693121,0.5962169228882291,10.0,1.875
hier_article,pil_acts,5,17,0.32941176470588235,0.4188057040998217,0.3465495289024701,0.359982174688057,0.6882352941176471,0.46762869680900065,5.0,1.6470588235294117
hier_article,pil_acts,10,17,0.21764705882352942,0.5648841354723708,0.29918929110105585,0.36978609625668446,0.6980392156862746,0.5252501469626701,10.0,2.176470588235294
hier_article,target_acts,5,72,0.3222222222222222,0.5891624579124579,0.38618487993487993,0.4630050505050505,0.7539351851851852,0.5862689777454858,5.0,1.6111111111111112
hier_article,target_acts,10,72,0.20277777777777778,0.703219696969697,0.2974310797227464,0.4705808080808081,0.7570601851851851,0.6329974547988914,10.0,2.0277777777777777
hier_paragraph,all_acts,5,72,0.3701388888888889,0.5903198653198652,0.41923762965429634,0.49309764309764303,0.8118055555555556,0.6210404218158879,4.486111111111111,1.625
hier_paragraph,all_acts,10,72,0.2188932980599647,0.6457491582491582,0.30532261570568026,0.5024621212121212,0.8141203703703703,0.6295171895741407,8.569444444444445,1.8194444444444444
hier_paragraph,pil_acts,5,17,0.4235294117647059,0.49919786096256685,0.4336176895000424,0.4795900178253119,0.8725490196078431,0.6009586319620022,4.647058823529412,1.9411764705882353
hier_paragraph,pil_acts,10,17,0.2349673202614379,0.5486631016042781,0.306548053464562,0.48493761140819963,0.8725490196078431,0.6034830460612501,9.411764705882353,2.176470588235294
