rq,outcome,family,comparison,test,method,n,effective_n,statistic,p_value,p_value_adjusted_holm,kendalls_w,rank_biserial,mean_difference,median_difference,ci_lower,ci_upper,notes
RQ1,gold_f1_at_10,confirmatory_chunking,fs_256_50 vs sem_50_256 vs hier_paragraph,scipy_friedman_chi_square,scipy.stats.friedmanchisquare,72,72,62.69343065693423,2.433853912988312e-14,,0.4353710462287099,,,,,,descriptive omnibus summary; not a gate for the contrast family
RQ1,gold_f1_at_10,confirmatory_chunking,hier_paragraph - fs_256_50,scipy_wilcoxon_signed_rank,scipy.stats.wilcoxon_approx_tie_corrected,72,68,171.0,9.201771826976092e-10,2.760531548092828e-09,,0.8542199488491049,0.12553988261744442,0.125874125874,0.09755506506343055,0.1539414088077778,Holm-adjusted within confirmatory family
RQ1,gold_f1_at_10,confirmatory_chunking,hier_paragraph - sem_50_256,scipy_wilcoxon_signed_rank,scipy.stats.wilcoxon_approx_tie_corrected,72,66,563.5,0.0005352014698188475,0.0005352014698188475,,0.4902758932609679,0.03580137482541666,0.039432789433,0.015195972386777779,0.05642221519731944,Holm-adjusted within confirmatory family
RQ1,gold_f1_at_10,confirmatory_chunking,sem_50_256 - fs_256_50,scipy_wilcoxon_signed_rank,scipy.stats.wilcoxon_approx_tie_corrected,72,69,267.5,1.9061510463754782e-08,3.8123020927509564e-08,,0.7784679089026915,0.089738507792,0.088888888889,0.06617177964069444,0.11395125419222223,Holm-adjusted within confirmatory family
