coverage_band,n,mean_correctness,abstention_rate,mean_faithfulness
zero,24,0.21250000000000002,0.2916666666666667,0.8708333333333335
partial,209,0.7779904306220096,0.07655502392344497,0.945933014354067
high,78,0.8692307692307691,0.01282051282051282,0.9538461538461539
complete,49,0.9040816326530613,0.0,0.9448979591836734
spearman_all,360,0.3076547950441328,,
spearman_nonzero,336,0.20042463790324963,,
