condition_id,faithfulness_judge_abstention_rate,faithfulness_judge_unjustified_abstention_rate,correctness_judge_abstention_rate,correctness_judge_unjustified_abstention_rate
no_enrichment,0.09722222222222222,0.0,0.09722222222222222,0.05555555555555555
parent_only,0.05555555555555555,0.0,0.06944444444444445,0.013888888888888888
xref_only,0.05555555555555555,0.0,0.06944444444444445,0.013888888888888888
combined,0.041666666666666664,0.0,0.041666666666666664,0.0
volume_matched,0.08333333333333333,0.0,0.06944444444444445,0.0
